Continent,Year,Count
Africa,2000,23375
Africa,2001,23275
Africa,2002,23000
Africa,2003,25000
Africa,2004,24456.4
Africa,2005,23859.1
Africa,2006,25557.8
Africa,2007,25883.7
Africa,2008,26530.1
Africa,2009,25875.1
Africa,2010,25993.1
Africa,2011,20636.9
America,2000,96941
America,2001,102573.9
America,2002,101387.4
America,2003,103559.2
America,2004,105251.2
America,2005,105246.6
America,2006,100260.9
America,2007,123163.7
America,2008,122266.4
America,2009,123762.8
America,2010,130071.7
America,2011,163934
Asia,2000,79361
Asia,2001,75540
Asia,2002,100987
Asia,2003,103307
Asia,2004,104325
Asia,2005,98875
Asia,2006,90117
Asia,2007,90845
Asia,2008,88213
Asia,2009,89322
Asia,2010,83785
Asia,2011,75190
Europe,2000,12787
Europe,2001,12693
Europe,2002,11721
Europe,2003,11100
Europe,2004,11762
Europe,2005,11468
Europe,2006,11123
Europe,2007,10676
Europe,2008,16751
Europe,2009,15367
Europe,2010,13704
Europe,2011,10392
Oceanie,2000,894
Oceanie,2001,868
Oceanie,2002,921
Oceanie,2003,1030
Oceanie,2004,681
Oceanie,2005,953
Oceanie,2006,1000
Oceanie,2007,862
Oceanie,2008,962
Oceanie,2009,1075
Oceanie,2010,1004
Oceanie,2011,294
