Continent,Year,Count
Africa,2000,23375
Africa,2001,23275
Africa,2002,23000
Africa,2003,25000
Africa,2004,24456.4
Africa,2005,23859.1
Africa,2006,25557.8
Africa,2007,25883.7
Africa,2008,26530.1
Africa,2009,25875.1
Africa,2010,25993.1
Africa,2011,26636.9
America,2000,96941
America,2001,102573.9
America,2002,101387.4
America,2003,98559.2
America,2004,95251.2
America,2005,98246.6
America,2006,100260.9
America,2007,143163.7
America,2008,152266.4
America,2009,157762.8
America,2010,161071.7
America,2011,163934
Asia,2000,79361.2
Asia,2001,75540.5
Asia,2002,100987
Asia,2003,103307.3
Asia,2004,104325.1
Asia,2005,98875.2
Asia,2006,97117.2
Asia,2007,93845.5
Asia,2008,95213.5
Asia,2009,93322.7
Asia,2010,95785.9
Asia,2011,78190.6
Europe,2000,9787.1
Europe,2001,9693.5
Europe,2002,9721.6
Europe,2003,12945.8
Europe,2004,12762.9
Europe,2005,11868.3
Europe,2006,11123
Europe,2007,10676
Europe,2008,26751
Europe,2009,25367.8
Europe,2010,23704.3
Europe,2011,20392.7
Oceanie,2000,894.2
Oceanie,2001,868.4
Oceanie,2002,921.2
Oceanie,2003,1030.7
Oceanie,2004,681
Oceanie,2005,953.8
Oceanie,2006,1000.4
Oceanie,2007,862.6
Oceanie,2008,962.9
Oceanie,2009,1075.5
Oceanie,2010,1004.3
Oceanie,2011,294.3
