Country,Indicator,Region,Subregion,Year,Percentage
Armenia,Firearms rate,Asia,Western Asia,2005,0.2
Armenia,Sharp Objects rate,Asia,Western Asia,2005,0.7
Armenia,Other Mechanism rate,Asia,Western Asia,2005,1
Armenia,Unknown Mechanism rate,Asia,Western Asia,2005,0
Aruba,Firearms rate,Americas,Caribbean,2005,3
Aruba,Sharp Objects rate,Americas,Caribbean,2005,3
Aruba,Other Mechanism rate,Americas,Caribbean,2005,0
Aruba,Unknown Mechanism rate,Americas,Caribbean,2005,0
Australia,Firearms rate,Oceania,Australia and New Zealand,2005,0.1
Australia,Sharp Objects rate,Oceania,Australia and New Zealand,2005,0.5
Australia,Other Mechanism rate,Oceania,Australia and New Zealand,2005,0.7
Australia,Unknown Mechanism rate,Oceania,Australia and New Zealand,2005,0
Austria,Firearms rate,Europe,Western Europe,2005,0.1
Austria,Sharp Objects rate,Europe,Western Europe,2005,0.2
Austria,Other Mechanism rate,Europe,Western Europe,2005,0.4
Austria,Unknown Mechanism rate,Europe,Western Europe,2005,0
Bahamas,Firearms rate,Americas,Caribbean,2005,10.7
Bahamas,Sharp Objects rate,Americas,Caribbean,2005,3.3
Bahamas,Other Mechanism rate,Americas,Caribbean,2005,0.9
Bahamas,Unknown Mechanism rate,Americas,Caribbean,2005,0.9
Belgium,Firearms rate,Europe,Western Europe,2005,0.6
Belgium,Sharp Objects rate,Europe,Western Europe,2005,0.6
Belgium,Other Mechanism rate,Europe,Western Europe,2005,0.7
Belgium,Unknown Mechanism rate,Europe,Western Europe,2005,0.2
Bermuda,Firearms rate,Americas,Northern America,2005,0
Bermuda,Sharp Objects rate,Americas,Northern America,2005,0
Bermuda,Other Mechanism rate,Americas,Northern America,2005,3.1
Bermuda,Unknown Mechanism rate,Americas,Northern America,2005,0
Brazil,Firearms rate,Americas,South America,2005,16.4
Brazil,Sharp Objects rate,Americas,South America,2005,3.4
Brazil,Other Mechanism rate,Americas,South America,2005,2.2
Brazil,Unknown Mechanism rate,Americas,South America,2005,1.4
Bulgaria,Firearms rate,Europe,Eastern Europe,2005,0.5
Bulgaria,Sharp Objects rate,Europe,Eastern Europe,2005,0.1
Bulgaria,Other Mechanism rate,Europe,Eastern Europe,2005,0.1
Bulgaria,Unknown Mechanism rate,Europe,Eastern Europe,2005,1.8
Canada,Firearms rate,Americas,Northern America,2005,0.7
Canada,Sharp Objects rate,Americas,Northern America,2005,0.7
Canada,Other Mechanism rate,Americas,Northern America,2005,0.6
Canada,Unknown Mechanism rate,Americas,Northern America,2005,0.1
Cayman Islands,Firearms rate,Americas,Caribbean,2005,4.1
Cayman Islands,Sharp Objects rate,Americas,Caribbean,2005,2.1
Cayman Islands,Other Mechanism rate,Americas,Caribbean,2005,0
Cayman Islands,Unknown Mechanism rate,Americas,Caribbean,2005,0
"China, Hong Kong Special Administrative Region",Firearms rate,Asia,Eastern Asia,2005,0
"China, Hong Kong Special Administrative Region",Sharp Objects rate,Asia,Eastern Asia,2005,0.2
"China, Hong Kong Special Administrative Region",Other Mechanism rate,Asia,Eastern Asia,2005,0.3
"China, Hong Kong Special Administrative Region",Unknown Mechanism rate,Asia,Eastern Asia,2005,0
Colombia,Firearms rate,Americas,South America,2005,34.1
Colombia,Sharp Objects rate,Americas,South America,2005,5.8
Colombia,Other Mechanism rate,Americas,South America,2005,1.8
Colombia,Unknown Mechanism rate,Americas,South America,2005,0.1
Costa Rica,Firearms rate,Americas,Central America,2005,5
Costa Rica,Sharp Objects rate,Americas,Central America,2005,1.8
Costa Rica,Other Mechanism rate,Americas,Central America,2005,0.9
Costa Rica,Unknown Mechanism rate,Americas,Central America,2005,0.2
Croatia,Firearms rate,Europe,Southern Europe,2005,0.7
Croatia,Sharp Objects rate,Europe,Southern Europe,2005,0.2
Croatia,Other Mechanism rate,Europe,Southern Europe,2005,0.4
Croatia,Unknown Mechanism rate,Europe,Southern Europe,2005,0.2
Cuba,Firearms rate,Americas,Caribbean,2005,0.4
Cuba,Sharp Objects rate,Americas,Caribbean,2005,4.1
Cuba,Other Mechanism rate,Americas,Caribbean,2005,1.3
Cuba,Unknown Mechanism rate,Americas,Caribbean,2005,0.1
Czechia,Firearms rate,Europe,Eastern Europe,2005,0.2
Czechia,Sharp Objects rate,Europe,Eastern Europe,2005,0.5
Czechia,Other Mechanism rate,Europe,Eastern Europe,2005,0.3
Czechia,Unknown Mechanism rate,Europe,Eastern Europe,2005,0.1
Denmark,Firearms rate,Europe,Northern Europe,2005,0.2
Denmark,Sharp Objects rate,Europe,Northern Europe,2005,0.4
Denmark,Other Mechanism rate,Europe,Northern Europe,2005,0.4
Denmark,Unknown Mechanism rate,Europe,Northern Europe,2005,0.1
Ecuador,Firearms rate,Americas,South America,2005,10.1
Ecuador,Sharp Objects rate,Americas,South America,2005,3.2
Ecuador,Other Mechanism rate,Americas,South America,2005,1.2
Ecuador,Unknown Mechanism rate,Americas,South America,2005,1
El Salvador,Firearms rate,Americas,Central America,2005,52.2
El Salvador,Sharp Objects rate,Americas,Central America,2005,6.9
El Salvador,Other Mechanism rate,Americas,Central America,2005,5.2
El Salvador,Unknown Mechanism rate,Americas,Central America,2005,0.1
Estonia,Firearms rate,Europe,Northern Europe,2005,0.3
Estonia,Sharp Objects rate,Europe,Northern Europe,2005,3.3
Estonia,Other Mechanism rate,Europe,Northern Europe,2005,4
Estonia,Unknown Mechanism rate,Europe,Northern Europe,2005,0.7
Finland,Firearms rate,Europe,Northern Europe,2005,0.2
Finland,Sharp Objects rate,Europe,Northern Europe,2005,1
Finland,Other Mechanism rate,Europe,Northern Europe,2005,1
Finland,Unknown Mechanism rate,Europe,Northern Europe,2005,0
Germany,Firearms rate,Europe,Western Europe,2005,0.2
Germany,Sharp Objects rate,Europe,Western Europe,2005,0.4
Germany,Other Mechanism rate,Europe,Western Europe,2005,0.4
Germany,Unknown Mechanism rate,Europe,Western Europe,2005,0.1
Grenada,Firearms rate,Americas,Caribbean,2005,1.3
Grenada,Sharp Objects rate,Americas,Caribbean,2005,8
Grenada,Other Mechanism rate,Americas,Caribbean,2005,1.3
Grenada,Unknown Mechanism rate,Americas,Caribbean,2005,0
India,Firearms rate,Asia,Southern Asia,2005,0.5
Italy,Firearms rate,Europe,Southern Europe,2005,0.5
Italy,Sharp Objects rate,Europe,Southern Europe,2005,0.2
Italy,Other Mechanism rate,Europe,Southern Europe,2005,0.2
Italy,Unknown Mechanism rate,Europe,Southern Europe,2005,0.1
Japan,Firearms rate,Asia,Eastern Asia,2005,0
Japan,Sharp Objects rate,Asia,Eastern Asia,2005,0.2
Japan,Other Mechanism rate,Asia,Eastern Asia,2005,0.3
Japan,Unknown Mechanism rate,Asia,Eastern Asia,2005,0
Kyrgyzstan,Firearms rate,Asia,Central Asia,2005,0.9
Kyrgyzstan,Sharp Objects rate,Asia,Central Asia,2005,3.2
Kyrgyzstan,Other Mechanism rate,Asia,Central Asia,2005,1.9
Kyrgyzstan,Unknown Mechanism rate,Asia,Central Asia,2005,2.3
Latvia,Firearms rate,Europe,Northern Europe,2005,0.3
Latvia,Sharp Objects rate,Europe,Northern Europe,2005,1.9
Latvia,Other Mechanism rate,Europe,Northern Europe,2005,1.8
Latvia,Unknown Mechanism rate,Europe,Northern Europe,2005,1.6
Liechtenstein,Firearms rate,Europe,Western Europe,2005,0
Liechtenstein,Sharp Objects rate,Europe,Western Europe,2005,0
Liechtenstein,Other Mechanism rate,Europe,Western Europe,2005,0
Liechtenstein,Unknown Mechanism rate,Europe,Western Europe,2005,0
Lithuania,Firearms rate,Europe,Northern Europe,2005,0.5
Lithuania,Sharp Objects rate,Europe,Northern Europe,2005,3.3
Lithuania,Other Mechanism rate,Europe,Northern Europe,2005,7.3
Lithuania,Unknown Mechanism rate,Europe,Northern Europe,2005,0.1
Malta,Firearms rate,Europe,Southern Europe,2005,0.2
Malta,Sharp Objects rate,Europe,Southern Europe,2005,0.5
Malta,Other Mechanism rate,Europe,Southern Europe,2005,0.2
Malta,Unknown Mechanism rate,Europe,Southern Europe,2005,0
Mexico,Firearms rate,Americas,Central America,2005,4.7
Mexico,Sharp Objects rate,Americas,Central America,2005,1.6
Mexico,Other Mechanism rate,Americas,Central America,2005,1.5
Mexico,Unknown Mechanism rate,Americas,Central America,2005,1.4
Montserrat,Firearms rate,Americas,Caribbean,2005,0
Montserrat,Sharp Objects rate,Americas,Caribbean,2005,0
Montserrat,Other Mechanism rate,Americas,Caribbean,2005,20.9
Montserrat,Unknown Mechanism rate,Americas,Caribbean,2005,0
Netherlands,Firearms rate,Europe,Western Europe,2005,0.3
Netherlands,Sharp Objects rate,Europe,Western Europe,2005,0.3
Netherlands,Other Mechanism rate,Europe,Western Europe,2005,0.3
Netherlands,Unknown Mechanism rate,Europe,Western Europe,2005,0.1
New Zealand,Firearms rate,Oceania,Australia and New Zealand,2005,0.2
New Zealand,Sharp Objects rate,Oceania,Australia and New Zealand,2005,0.5
New Zealand,Other Mechanism rate,Oceania,Australia and New Zealand,2005,0.6
New Zealand,Unknown Mechanism rate,Oceania,Australia and New Zealand,2005,0.1
Panama,Firearms rate,Americas,Central America,2005,6.5
Panama,Sharp Objects rate,Americas,Central America,2005,2.9
Panama,Other Mechanism rate,Americas,Central America,2005,1.5
Panama,Unknown Mechanism rate,Americas,Central America,2005,0
Poland,Firearms rate,Europe,Eastern Europe,2005,0.1
Poland,Sharp Objects rate,Europe,Eastern Europe,2005,0.6
Poland,Other Mechanism rate,Europe,Eastern Europe,2005,0.8
Poland,Unknown Mechanism rate,Europe,Eastern Europe,2005,0.1
Puerto Rico,Firearms rate,Americas,Caribbean,2005,18
Puerto Rico,Sharp Objects rate,Americas,Caribbean,2005,0.8
Puerto Rico,Other Mechanism rate,Americas,Caribbean,2005,0.6
Puerto Rico,Unknown Mechanism rate,Americas,Caribbean,2005,1
Qatar,Firearms rate,Asia,Western Asia,2005,0.2
Qatar,Sharp Objects rate,Asia,Western Asia,2005,0.3
Qatar,Other Mechanism rate,Asia,Western Asia,2005,0.1
Qatar,Unknown Mechanism rate,Asia,Western Asia,2005,0
Republic of Moldova,Firearms rate,Europe,Eastern Europe,2005,0.5
Republic of Moldova,Sharp Objects rate,Europe,Eastern Europe,2005,1.6
Republic of Moldova,Other Mechanism rate,Europe,Eastern Europe,2005,5.1
Republic of Moldova,Unknown Mechanism rate,Europe,Eastern Europe,2005,0
Romania,Firearms rate,Europe,Eastern Europe,2005,0.1
Romania,Sharp Objects rate,Europe,Eastern Europe,2005,0.6
Romania,Other Mechanism rate,Europe,Eastern Europe,2005,0.8
Romania,Unknown Mechanism rate,Europe,Eastern Europe,2005,0.7
Saint Vincent and the Grenadines,Firearms rate,Americas,Caribbean,2005,4.6
Saint Vincent and the Grenadines,Sharp Objects rate,Americas,Caribbean,2005,9.2
Serbia,Firearms rate,Europe,Southern Europe,2005,0.4
Serbia,Sharp Objects rate,Europe,Southern Europe,2005,0.5
Serbia,Other Mechanism rate,Europe,Southern Europe,2005,0.3
Serbia,Unknown Mechanism rate,Europe,Southern Europe,2005,0.4
Slovakia,Firearms rate,Europe,Eastern Europe,2005,0.3
Slovakia,Sharp Objects rate,Europe,Eastern Europe,2005,0.5
Slovakia,Other Mechanism rate,Europe,Eastern Europe,2005,0.8
Slovakia,Unknown Mechanism rate,Europe,Eastern Europe,2005,0.2
Slovenia,Firearms rate,Europe,Southern Europe,2005,0.6
Slovenia,Sharp Objects rate,Europe,Southern Europe,2005,0.2
Slovenia,Other Mechanism rate,Europe,Southern Europe,2005,0.2
Slovenia,Unknown Mechanism rate,Europe,Southern Europe,2005,0
Egypt,Firearms rate,Africa,Northern Africa,2006,0.3
Egypt,Other Mechanism rate,Africa,Northern Africa,2006,0.2
Egypt,Sharp Objects rate,Africa,Northern Africa,2006,0.2
Egypt,Firearms rate,Africa,Northern Africa,2007,0.4
Egypt,Other Mechanism rate,Africa,Northern Africa,2007,0.2
Egypt,Sharp Objects rate,Africa,Northern Africa,2007,0.3
South Africa,Firearms rate,Africa,Southern Africa,2007,12.2
South Africa,Sharp Objects rate,Africa,Southern Africa,2007,11.6
Uganda,Firearms rate,Africa,Eastern Africa,2008,1.1
Egypt,Firearms rate,Africa,Northern Africa,2008,0.6
Egypt,Other Mechanism rate,Africa,Northern Africa,2008,0.2
Egypt,Sharp Objects rate,Africa,Northern Africa,2008,0.4
Namibia,Firearms rate,Africa,Southern Africa,2008,3.1
Uganda,Firearms rate,Africa,Eastern Africa,2009,1.1
Egypt,Firearms rate,Africa,Northern Africa,2009,0.5
Egypt,Other Mechanism rate,Africa,Northern Africa,2009,0.2
Egypt,Sharp Objects rate,Africa,Northern Africa,2009,0.4
Namibia,Firearms rate,Africa,Southern Africa,2009,3.2
Mauritius,Firearms rate,Africa,Eastern Africa,2010,0.2
Uganda,Firearms rate,Africa,Eastern Africa,2010,1
United Republic of Tanzania,Firearms rate,Africa,Eastern Africa,2010,0.1
Mauritius,Other Mechanism rate,Africa,Eastern Africa,2010,0.9
United Republic of Tanzania,Other Mechanism rate,Africa,Eastern Africa,2010,2.4
Mauritius,Sharp Objects rate,Africa,Eastern Africa,2010,1.6
United Republic of Tanzania,Sharp Objects rate,Africa,Eastern Africa,2010,6
Mauritius,Unknown Mechanism rate,Africa,Eastern Africa,2010,0
United Republic of Tanzania,Unknown Mechanism rate,Africa,Eastern Africa,2010,0
Namibia,Firearms rate,Africa,Southern Africa,2010,2
Mauritius,Firearms rate,Africa,Eastern Africa,2011,0
Uganda,Firearms rate,Africa,Eastern Africa,2011,0.7
United Republic of Tanzania,Firearms rate,Africa,Eastern Africa,2011,0.1
Mauritius,Other Mechanism rate,Africa,Eastern Africa,2011,1.8
United Republic of Tanzania,Other Mechanism rate,Africa,Eastern Africa,2011,2.6
Mauritius,Sharp Objects rate,Africa,Eastern Africa,2011,0.9
United Republic of Tanzania,Sharp Objects rate,Africa,Eastern Africa,2011,6
Mauritius,Unknown Mechanism rate,Africa,Eastern Africa,2011,0
United Republic of Tanzania,Unknown Mechanism rate,Africa,Eastern Africa,2011,0
Egypt,Firearms rate,Africa,Northern Africa,2011,2.1
Egypt,Other Mechanism rate,Africa,Northern Africa,2011,0.4
Egypt,Sharp Objects rate,Africa,Northern Africa,2011,0.6
Namibia,Firearms rate,Africa,Southern Africa,2011,1.8
Cabo Verde,Firearms rate,Africa,Western Africa,2011,5.9
Cabo Verde,Other Mechanism rate,Africa,Western Africa,2011,0.2
Cabo Verde,Sharp Objects rate,Africa,Western Africa,2011,3.5
