Country,Crime_Index,Safety_Index,Local_Purchasing_Power_Index,Continent,Population,Income
Afghanistan,76.23,23.77,28.2,Asia,38928341,458
Albania,39.52,60.48,29.56,Europe,2877800,4201
Algeria,49.81,50.19,28.69,Africa,43851043,3099
Argentina,61.77,38.23,47.22,South America,45195777,9632
Armenia,21.6,78.4,28,Asia,2963234,3534
Australia,41.36,58.64,107.31,Oceania,25499881,43346
Austria,23.73,76.27,82.38,Europe,9006400,42095
Azerbaijan,31.61,68.39,30.2,Asia,10139175,3298
Bahamas,62.86,37.14,54.18,North America,393248,24321
Bahrain,29.29,70.71,57.88,Asia,1701583,20094
Bangladesh,63.94,36.06,33.21,Asia,164689383,1619
Belarus,24.99,75.01,37,Europe,9449321,5153
Belgium,43.98,56.02,86.28,Europe,11589616,38860
Bolivia,52.93,47.07,39.34,South America,11673029,2735
Bosnia And Herzegovina,43.03,56.97,41.83,Europe,3280815,5177
Botswana,53.49,46.51,58.1,Africa,2351625,5852
Brazil,68.88,31.12,32.81,South America,212559409,7843
Brunei,27.68,72.32,86.95,Asia,437479,24020
Bulgaria,38.5,61.5,49.37,Europe,6948445,8148
Cambodia,50.66,49.34,11.29,Asia,16718971,1186
Canada,39.67,60.33,95.09,North America,37742157,37653
Chile,45.23,54.77,42.5,South America,19116209,11845
China,31.83,68.17,60.88,Asia,1439323774,7710
Colombia,54.79,45.21,31.12,South America,50882884,5134
Costa Rica,56.33,43.67,42.61,North America,5094114,10784
Croatia,24.71,75.29,50.42,Europe,4105268,12588
Cuba,27.45,72.55,2.18,North America,11326616,6929
Cyprus,30.01,69.99,57.41,Asia,875899,26328
Czech Republic,25.52,74.48,62.82,Europe,10708982,14972
Denmark,25.1,74.9,100.88,Europe,5792203,52641
Dominican Republic,61.16,38.84,23.95,North America,10847904,7197
Ecuador,50.9,49.1,36.08,South America,17643060,4626
Egypt,46.92,53.08,22.41,Africa,102334403,2216
El Salvador,67.96,32.04,24.71,North America,6486201,3315
Estonia,23.14,76.86,71.3,Europe,1326539,19214
Ethiopia,49.21,50.79,8.34,Africa,114963583,562
Fiji,58.92,41.08,33.17,Oceania,896444,5137
Finland,23.32,76.68,99.93,Europe,5540718,41001
France,46.79,53.21,80.36,Europe,65273512,34835
Georgia,20.21,79.79,24.88,Asia,3989175,4014
Germany,34.81,65.19,102.36,Europe,83783945,40285
Ghana,48.97,51.03,14.66,Africa,31072945,1462
Greece,40.32,59.68,43.68,Europe,10423056,16994
Guatemala,57.83,42.17,39.83,North America,17915567,3741
Honduras,76.11,23.89,30.26,North America,9904608,2141
Hong Kong,20.7,79.3,65.32,Asia,7496981,5131
Hungary,35.08,64.92,47.55,Europe,9660350,12896
Iceland,23.36,76.64,79.44,Europe,341250,58080
India,43.32,56.68,54.3,Asia,1380004385,1735
Indonesia,45.84,54.16,25.05,Asia,273523621,2999
Iran,49.25,50.75,22.69,Asia,83992953,4352
Iraq,47.78,52.22,42.43,Asia,40222503,4351
Ireland,45.43,54.57,80.88,Europe,4937796,42177
Israel,29.6,70.4,78.09,Asia,8655541,36155
Italy,44.26,55.74,65.59,Europe,60461828,28832
Jamaica,66.04,33.96,32.37,North America,2961161,4690
Japan,20.66,79.34,87.28,Asia,126476458,31890
Jordan,40.83,59.17,34.88,Asia,10203140,3863
